21/11/2019;17:58:22;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:21.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:22;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:22.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:22;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:22.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:23;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:22.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:23;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:22.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:23;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:23.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:23;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:23.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:24;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:23.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:24;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:23.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:24;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:24.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:24;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:24.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:25;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:24.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:25;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:24.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:25;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:25.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:25;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:25.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:26;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:25.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:26;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:25.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:26;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:26.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:26;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:26.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:27;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:26.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:27;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:26.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:27;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:27.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:27;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:27.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:28;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:27.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:28;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:27.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:28;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:28.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:28;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:28.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:29;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:28.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:29;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:28.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:29;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:29.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:29;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:29.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:30;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:29.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:30;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:29.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:30;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:30.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:30;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:30.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:31;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:30.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:31;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:30.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:31;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:31.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:31;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:31.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:32;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:31.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:32;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:31.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:32;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:32.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:32;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:32.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:33;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:32.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:33;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:32.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:33;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:33.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:33;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:33.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:34;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:33.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:34;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:33.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:34;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:34.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:34;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:34.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:35;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:34.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:35;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:34.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:35;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:35.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:35;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:35.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:36;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:35.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:36;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:35.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:36;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:36.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:36;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:36.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:37;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:36.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:37;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:36.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:37;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:37.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:37;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:37.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:38;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:37.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:38;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:37.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:38;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:38.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:38;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:38.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:39;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:38.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:39;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:38.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:39;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:39.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:39;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:39.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:40;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:39.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:40;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:39.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:40;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:40.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:40;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:40.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:41;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:40.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:41;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:40.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:41;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:41.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:41;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:41.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:42;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:41.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:42;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:41.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:42;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:42.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:42;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:42.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:43;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:42.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:43;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:42.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:43;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:43.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:43;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:43.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:44;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:43.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:44;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:43.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:44;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:44.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:44;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:44.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:45;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:44.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:45;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:44.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:45;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:45.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:45;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:45.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:46;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:45.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:46;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:45.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:46;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:46.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:46;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:46.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:47;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:46.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:47;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:46.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:47;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:47.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:47;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:47.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:48;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:47.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:48;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:47.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:48;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:48.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:48;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:48.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:49;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:48.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:49;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:48.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:49;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:49.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:49;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:49.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:50;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:49.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:50;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:49.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:50;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:50.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:50;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:50.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:51;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:50.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:51;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:50.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:51;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:51.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:51;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:51.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:52;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:51.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:52;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:51.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
21/11/2019;17:58:52;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:58:52.000)(gpos 1.21 -0.89 0.10)(spos ""n/a"")(act {(14 Running)})}]"
