04/12/2019;14:31:16.680;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:16.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {})}]"
04/12/2019;14:31:17.188;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:17.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {})}]"
04/12/2019;14:31:17.677;[CAHRIM.SensoryHub.DetectUserDepth       ];-    DEBUG:;Sending to CSPEM the state: [approached-user:true]
04/12/2019;14:31:17.697;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:17.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {})}]"
04/12/2019;14:31:18.206;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:18.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {})}]"
04/12/2019;14:31:18.513;[CAHRIM.SocketHandlers.MsgReceiver       ];-    DEBUG:;Received message: subscribed#D7.1#[{(id 1) (type GreetWave) (robot ?R_97) (cpar 0.7 80 1.0 english MisterUser)}]
04/12/2019;14:31:18.513;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action received:    1, GreetWave, [], [0.7 80 1.0 english MisterUser]
04/12/2019;14:31:18.664;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:18.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {})}]"
04/12/2019;14:31:18.782;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action RUNNING:     1, GreetWave
04/12/2019;14:31:19.173;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:19.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {(1 Running)})}]"
04/12/2019;14:31:19.513;[CAHRIM.SocketHandlers.MsgReceiver       ];-    DEBUG:;Received message: subscribed#D7.1#[{(id 4) (type MoveCloserFarther) (robot ?R_176) (cpar 0.7 80 1.0 english MisterUser)}]
04/12/2019;14:31:19.515;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action received:    4, MoveCloserFarther, [], [0.7 80 1.0 english MisterUser]
04/12/2019;14:31:19.681;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:19.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {(1 Running)})}]"
04/12/2019;14:31:20.190;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:20.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {(1 Running)})}]"
